Age,"Standard error"
"All ages",0.19
"2–11 months",0.21
"1–2 years",0.12
"3–5 years",0.17
"6–11 years",0.22
"12–15 years",1.38
"16–19 years",0.37
"20–29 years",0.3
"30–39 years",0.29
"40–49 years",0.44
"50–59 years",0.33
"60–69 years",0.37
"70–79 years",0.32
"80 years and over",0.34
