Age,Median
"All ages",1.3
"2–11 months",0.7
"1–2 years",0.7
"3–5 years",0.8
"6–11 years",1
"12–15 years",1.2
"16–19 years",1.4
"20–29 years",1.5
"30–39 years",1.6
"40–49 years",1.5
"50–59 years",1.4
"60–69 years",1.3
"70–79 years",1.2
"80 years and over",1.1
