Age,"Standard deviation"
"6 years",10.5
"7-11 years",12.1
"7 years",11.4
"8 years",12.6
"9 years",12.1
"10 years",11.6
"11 years",12
"12-17 years",13.7
"12 years",13
"13 years",13.1
"14 years",12.1
"15 years",13.2
"16 years",13.9
"17 years",15.3
"18-74 years",21.9
"18-24 years",13.8
"25-34 years",14.7
"35-44 years",17.6
"45-54 years",22.7
"55-64 years",23.5
"65-74 years",25.2
"40-74 years",24
