Age,"Standard deviation"
"6 years",10.4
"7-11 years",12
"7 years",11.3
"8 years",12.7
"9 years",11.3
"10 years",11.7
"11 years",12.3
"12-17 years",13.8
"12 years",12.1
"13 years",13.2
"14 years",11.7
"15 years",13.5
"16 years",14
"17 years",14.8
"18-74 years",19.2
"18-24 years",13
"25-34 years",13.9
"35-44 years",15.4
"45-54 years",20.7
"55-64 years",20.8
"65-74 years",24.7
"40-74 years",21.5
