Age,"Standard deviation"
"6 years",10.5
"7-11 years",12.3
"7 years",11.3
"8 years",12.5
"9 years",12.9
"10 years",11.5
"11 years",11.7
"12-17 years",13.4
"12 years",14.1
"13 years",12.9
"14 years",12.5
"15 years",12.5
"16 years",13.2
"17 years",15.1
"18-74 years",24
"18-24 years",13.1
"25-34 years",14.1
"35-44 years",19.2
"45-54 years",24.4
"55-64 years",25.6
"65-74 years",25.2
"40-74 years",25.9
