Age,"Never maried"
"15 years and over",395
"15–24 years",83.9
"25–34 years",167.6
"35–44 years",434.9
"45–54 years",896.3
"55–64 years",1807.6
"65–74 years",4029.6
"75 years and older",11670.4
"Age-adjusted rate",2075.9
