Age,Rate
"15 years and over",348.9
"15–24 years",45.1
"25–34 years",100.3
"35–44 years",301
"45–54 years",572.1
"55–64 years",1270.5
"65–74 years",2989.4
"75 years and older",12162.3
"Age-adjusted rate",1827.8
