Age,"Sample size"
"3–5 months",282
"6–8 months",314
"9–11 months",269
"1 year",651
"2 years",571
"3 years",484
"4 years",541
"5 years",494
"6 years",279
"7 years",268
"8 years",263
"9 years",276
"10 years",294
"11 years",282
"12 years",202
"13 years",181
"14 years",185
"15 years",183
"16 years",192
"17 years",193
"18 years",169
"19 years",162
"20 years and older",7467
"20–29 years",1585
"30–39 years",1435
"40–49 years",1176
"50–59 years",820
"60–69 years",1112
"70–79 years",788
"80 years and older",551
