| Age               | Mean |
| ----------------- | ---- |
| All ages          | 12.3 |
| 2–11 months       | 9.8  |
| 1–2 years         | 12.3 |
| 3–5 years         | 12.3 |
| 6–11 years        | 12.5 |
| 12–15 years       | 12.6 |
| 16–19 years       | 12.5 |
| 20–29 years       | 12.1 |
| 30–39 years       | 12.7 |
| 40–49 years       | 12.9 |
| 50–59 years       | 12.2 |
| 60–69 years       | 11.9 |
| 70–79 years       | 11.7 |
| 80 years and over | 11.6 |
