Age,Mean
"All ages",33.6
"2–11 months",9.1
"1–2 years",20.3
"3–5 years",24.9
"6–11 years",32
"12–15 years",45
"16–19 years",50
"20–29 years",45.2
"30–39 years",36.8
"40–49 years",29.7
"50–59 years",26.8
"60–69 years",23.1
"70–79 years",20
"80 years and over",20.5
