Age,Mean
"All ages",28.8
"2–11 months",8.8
"1–2 years",20
"3–5 years",24.6
"6–11 years",29.2
"12–15 years",39.5
"16–19 years",41.5
"20–29 years",37.9
"30–39 years",30.5
"40–49 years",25.8
"50–59 years",22.6
"60–69 years",20.8
"70–79 years",18.2
"80 years and over",18.8
