Age,"Total : Sample size","Total : Mean","Total : Standard error","Total : Median","Poverty income ratio ≤ 1.300 : Sample size","Poverty income ratio ≤ 1.300 : Mean","Poverty income ratio ≤ 1.300 : Standard error","Poverty income ratio ≤ 1.300 : Median","Poverty income ratio > 1.300 : Sample size","Poverty income ratio > 1.300 : Mean","Poverty income ratio > 1.300 : Standard error","Poverty income ratio > 1.300 : Median"
"All ages",15181,1.4,0.02,1.1,5767,1.2,0.04,0.9,8000,1.5,0.02,1.2
"Under 6 years",3461,1,0.03,0.8,1581,0.9,0.03,0.7,1580,1,0.04,0.8
"6–11 years",1553,1.2,0.05,0.9,733,1.2,0.08,0.9,693,1.2,0.07,0.9
"12–19 years",1659,1.1,0.05,0.9,711,1.2,0.1,0.8,796,1.1,0.06,0.9
"20–59 years",5920,1.5,0.03,1.2,1939,1.3,0.06,0.9,3483,1.5,0.03,1.2
"60 years and over",2588,1.8,0.04,1.6,803,1.6,0.07,1.3,1448,1.9,0.04,1.7
