| Age    | 5th  | 10th | 15th | 25th | 50th | 75th | 85th | 90th | 95th |
| ------ | ---- | ---- | ---- | ---- | ---- | ---- | ---- | ---- | ---- |
| 3m–5m  | \*   | 11   | 11.1 | 11.5 | 12.1 | 13   | 13.2 | 13.5 | \*   |
| 6m–8m  | \*   | 12   | 12.3 | 12.8 | 13.5 | 14.2 | 14.6 | 15   | \*   |
| 9m–11m | \*   | 12.8 | 13   | 13.6 | 14.3 | 15   | 15.5 | 16   | \*   |
| 1      | 14   | 14.4 | 14.8 | 15   | 16   | 16.8 | 17.2 | 17.6 | 18   |
| 2      | 16   | 16.4 | 16.7 | 17   | 17.8 | 18.6 | 19.2 | 19.5 | 20   |
| 3      | 17.2 | 17.9 | 18   | 18.5 | 19.5 | 20.2 | 20.7 | 21   | 21.3 |
| 4      | 19   | 19.3 | 19.5 | 20   | 20.8 | 21.7 | 22.1 | 22.5 | 23   |
| 5      | 20   | 20.4 | 20.6 | 21.5 | 22.2 | 23.5 | 24   | 24.3 | 24.6 |
| 6      | \*   | 21.6 | 22   | 22.7 | 23.8 | 24.7 | 25.5 | 26   | \*   |
| 7      | \*   | 23.2 | 23.6 | 24   | 25.2 | 26.5 | 27.2 | 27.6 | \*   |
| 8      | \*   | 24.5 | 25   | 25.5 | 26.2 | 27.7 | 28.9 | 29.2 | \*   |
| 9      | \*   | 26   | 26.2 | 26.8 | 28   | 29.6 | 30.5 | 30.7 | \*   |
| 10     | \*   | 26.5 | 27   | 27.8 | 29.2 | 30.7 | 31.4 | 31.8 | \*   |
| 11     | \*   | 28   | 28.5 | 29.1 | 30.2 | 31.5 | 32.4 | 33   | \*   |
| 12     | \*   | \*   | 30.1 | 30.9 | 32.2 | 33.6 | 34.3 | \*   | \*   |
| 13     | \*   | \*   | 31   | 32   | 33.5 | 35.4 | 36.6 | \*   | \*   |
| 14     | \*   | \*   | 33   | 34   | 35.2 | 36.4 | 37.1 | \*   | \*   |
| 15     | \*   | \*   | 33.4 | 34.6 | 36   | 38.1 | 39   | \*   | \*   |
| 16     | \*   | \*   | 34.4 | 35.3 | 36.8 | 38.4 | 39   | \*   | \*   |
| 17     | \*   | \*   | 35.1 | 36   | 37   | 38.7 | 39.3 | \*   | \*   |
| 18     | \*   | \*   | 34.6 | 35.6 | 37.1 | 38.8 | 39.4 | \*   | \*   |
| 19     | \*   | \*   | 35.1 | 36   | 37.4 | 38.6 | 39.3 | \*   | \*   |
| 20+    | 34.2 | 35   | 35.5 | 36.3 | 37.9 | 39.2 | 40.1 | 40.6 | 41.4 |
| 20–29  | 33.6 | 34.5 | 35   | 35.8 | 37.4 | 39   | 40   | 40.5 | 41.1 |
| 30–39  | 34.2 | 35   | 35.6 | 36.3 | 37.8 | 39.2 | 40   | 40.6 | 41.4 |
| 40–49  | 34.6 | 35.2 | 35.7 | 36.5 | 38   | 39.4 | 40.2 | 40.7 | 41.6 |
| 50–59  | 34.4 | 35.2 | 35.9 | 37   | 38.1 | 39.5 | 40.2 | 40.6 | 41.8 |
| 60–69  | 34.8 | 35.4 | 36   | 36.6 | 38   | 39.5 | 40.1 | 40.8 | 41.4 |
| 70–79  | 34.6 | 35.1 | 35.5 | 36.3 | 37.7 | 39.1 | 40   | 40.5 | 41.2 |
| 80+    | 34.1 | 35   | 35.4 | 36.1 | 37.6 | 39.3 | 40   | 40.2 | 41.1 |
