Age,"Standard error"
"All ages",66.2
"2–11 months",111.1
"1–2 years",103.2
"3–5 years",86
"6–11 years",126.1
"12–15 years",412.2
"16–19 years",261.6
"20–29 years",174
"30–39 years",236
"40–49 years",189.5
"50–59 years",243.5
"60–69 years",164
"70–79 years",223.1
"80 years and over",323.4
