"Cause of death (females, 15–19 years)","Death rate (per 100000)"
"All causes",28.1
"Accidents (unintentional injuries)",10.4
"Intentional self-harm (suicide)",5
"Assault (homicide)",2.5
"Malignant neoplasms",2.3
"Diseases of heart",1.2
"Congenital malformations, deformations and chromosomal abnormalities",0.7
"Influenza and pneumonia",0.3
"Diabetes mellitus",0.3
"Pregnancy, childbirth and the puerperium",0.2
"Cerebrovascular diseases",0.2
"All other causes",4.9
