"Cause of death (females, 25–34 years)","Death rate (per 100000)"
"All causes",78.9
"Accidents (unintentional injuries)",29.2
"Malignant neoplasms",8.1
"Intentional self-harm (suicide)",6.8
"Diseases of heart",5.2
"Assault (homicide)",3.6
"Pregnancy, childbirth and the puerperium",2.4
"Chronic liver disease and cirrhosis",1.9
"Diabetes mellitus",1.4
"Cerebrovascular diseases",1.2
"Influenza and pneumonia",0.9
"All other causes",18.3
