| Age         | Standard error |
| ----------- | -------------- |
| 7-74 years  | 0.31           |
| 7-11 years  | 0.58           |
| 12-17 years | 0.46           |
| 18-24 years | 0.57           |
| 25-34 years | 0.43           |
| 35-44 years | 0.46           |
| 45-54 years | 0.63           |
| 55-64 years | 0.69           |
| 65-74 years | 0.85           |
