Age,"Standard deviation"
"7-17 years (education : head of the household)",14.1
"7-11 years (education : head of the household)",13.4
"12-17 years (education : head of the household)",13.5
"18-74 years",27.9
"18-24 years",7.3
"25-34 years",19.8
"35-44 years",20.9
"45-54 years",22.2
"55-64 years",23.3
"65-74 years",26.4
