Age,"Standard error of the mean"
"7-74 years",0.53
"7-11 years",0.99
"12-17 years",1.04
"18-24 years",0.58
"25-34 years",0.93
"35-44 years",0.89
"45-54 years",1.35
"55-64 years",1.05
"65-74 years",0.52
