| Age         | Standard error |
| ----------- | -------------- |
| 7-74 years  | 0.77           |
| 7-11 years  | 1.27           |
| 12-17 years | 1.06           |
| 18-24 years | 0.76           |
| 25-34 years | 1.7            |
| 35-44 years | 1.67           |
| 45-54 years | 1.85           |
| 55-64 years | 1.8            |
| 65-74 years | 0.63           |
