Age,"Sample size"
"3–5 months",290
"6–8 months",320
"9–11 months",277
"1 year",663
"2 years",645
"3 years",516
"4 years",549
"5 years",497
"6 years",283
"7 years",269
"8 years",266
"9 years",281
"10 years",297
"11 years",281
"12 years",203
"13 years",187
"14 years",188
"15 years",187
"16 years",194
"17 years",196
"18 years",176
"19 years",168
"20 years and older",7942
"20–29 years",1630
"30–39 years",1481
"40–49 years",1226
"50–59 years",855
"60–69 years",1175
"70–79 years",875
"80 years and older",700
