| Age    | Sample size |
| ------ | ----------- |
| 3m–5m  | 290         |
| 6m–8m  | 320         |
| 9m–11m | 277         |
| 1      | 663         |
| 2      | 645         |
| 3      | 516         |
| 4      | 549         |
| 5      | 497         |
| 6      | 283         |
| 7      | 269         |
| 8      | 266         |
| 9      | 281         |
| 10     | 297         |
| 11     | 281         |
| 12     | 203         |
| 13     | 187         |
| 14     | 188         |
| 15     | 187         |
| 16     | 194         |
| 17     | 196         |
| 18     | 176         |
| 19     | 168         |
| 20+    | 7942        |
| 20–29  | 1630        |
| 30–39  | 1481        |
| 40–49  | 1226        |
| 50–59  | 855         |
| 60–69  | 1175        |
| 70–79  | 875         |
| 80+    | 700         |
