Age,"Sample size"
"3–5 months",308
"6–8 months",264
"9–11 months",315
"1 year",647
"2 years",624
"3 years",587
"4 years",537
"5 years",554
"6 years",272
"7 years",274
"8 years",248
"9 years",280
"10 years",258
"11 years",275
"12 years",236
"13 years",220
"14 years",218
"15 years",191
"16 years",208
"17 years",201
"18 years",175
"19 years",177
"20 years and older",8764
"20–29 years",1665
"30–39 years",1775
"40–49 years",1368
"50–59 years",1006
"60–69 years",1172
"70–79 years",988
"80 years and older",790
