| Age               | Median |
| ----------------- | ------ |
| All ages          | 16.9   |
| 2–11 months       | 10.6   |
| 1–2 years         | 11.3   |
| 3–5 years         | 14.3   |
| 6–11 years        | 16.4   |
| 12–15 years       | 17.1   |
| 16–19 years       | 16.7   |
| 20–29 years       | 17.9   |
| 30–39 years       | 18.2   |
| 40–49 years       | 17.9   |
| 50–59 years       | 18.3   |
| 60–69 years       | 16.9   |
| 70–79 years       | 16.7   |
| 80 years and over | 15.5   |
