| Age   | 5th    | 10th   | 15th   | 25th   | 50th   | 75th   | 85th   | 90th   | 95th   |
| ----- | ------ | ------ | ------ | ------ | ------ | ------ | ------ | ------ | ------ |
| 8–11  | 139.72 | 154.04 | 162.01 | 175.59 | 204.22 | 246.69 | 273.14 | 291.76 | 330.42 |
| 12–15 | 226.75 | 251.84 | 272.39 | 307.98 | 383.44 | 467.49 | 508.54 | 535.3  | 571.33 |
| 16–19 | 375.6  | 402    | 423.27 | 456.81 | 516.51 | 592.79 | 627.41 | 651.2  | 687.98 |
| 20–29 | 389.14 | 426.78 | 448.01 | 478.42 | 541.78 | 610.86 | 655.13 | 686.8  | 740.89 |
| 30–39 | 393.82 | 422.25 | 440.67 | 470.47 | 536.34 | 608.53 | 650.07 | 678.42 | 729.36 |
| 40–49 | 405.46 | 436.59 | 456.33 | 486.53 | 544.71 | 604.94 | 638.84 | 662.15 | 709.47 |
| 50–59 | 388.99 | 420.75 | 441.43 | 470.33 | 528.6  | 588.02 | 624.71 | 658.99 | 700.79 |
| 60–69 | 378.78 | 413.95 | 433.84 | 463.94 | 523.36 | 581.56 | 620.42 | 650.2  | 693.79 |
| 70–79 | 353.63 | 384.41 | 406.3  | 436.88 | 500.63 | 558.62 | 590.83 | 621.63 | 655.3  |
| 80+   | 333.34 | 363.9  | 380.77 | 414.63 | 462.82 | 526.73 | 569.45 | 590.98 | 628.18 |
