Age,Mean
"8–11 years",34.8
"12–15 years",34.7
"16–19 years",37.3
"20–39 years",40.5
"40–59 years",43.9
"60–79 years",46.9
"80 years and older",45
"20 years and older (crude)",43.3
"20 years and older (age adjusted)",43.2
