| Age                | Mean |
| ------------------ | ---- |
| 8–11               | 30.3 |
| 12–15              | 25.4 |
| 16–19              | 21.5 |
| 20–39              | 23.8 |
| 40–59              | 26.5 |
| 60–79              | 29.8 |
| 80+                | 30.9 |
| 20+                | 26.1 |
| 20+ (age adjusted) | 26.2 |
