| Age                | Married  |
| ------------------ | -------- |
| 15 years and over  | 60495479 |
| 15–24 years        | 1514998  |
| 25–34 years        | 9906923  |
| 35–44 years        | 15390563 |
| 45–54 years        | 13864551 |
| 55–64 years        | 9013797  |
| 65–74 years        | 6516909  |
| 75 years and older | 4287738  |
