| Age                | Married   |
| ------------------ | --------- |
| 15 years and over  | 121350626 |
| 15–24 years        | 4162222   |
| 25–34 years        | 21460595  |
| 35–44 years        | 31613263  |
| 45–54 years        | 27233060  |
| 55–64 years        | 17474825  |
| 65–74 years        | 12088113  |
| 75 years and older | 7318548   |
