"Cause of death (males, 65–74 years)","Percent"
"All causes",100
"Malignant neoplasms",29.5
"Diseases of heart",24.7
"Chronic lower respiratory diseases",6.3
"Diabetes mellitus",4.3
"Cerebrovascular diseases",4.1
"Accidents (unintentional injuries)",3.6
"Chronic liver disease and cirrhosis",2.1
"Nephritis, nephrotic syndrome and nephrosis",1.9
"Influenza and pneumonia",1.5
Septicemia,1.4
"All other causes",20.7

