| Age      | Rate    |
| -------- | ------- |
| All ages | 869.7   |
| 0-1      | 553     |
| 1–4      | 23.3    |
| 5–14     | 13.4    |
| 15–24    | 69.7    |
| 25–34    | 128.8   |
| 35–44    | 199.2   |
| 45–54    | 392.4   |
| 55–64    | 883.3   |
| 65–74    | 1764.6  |
| 75–84    | 4308.3  |
| 85+      | 13228.6 |
