| Age      | Rate    |
| -------- | ------- |
| All ages | 829     |
| 0-1      | 500.4   |
| 1–4      | 21.2    |
| 5–14     | 11.5    |
| 15–24    | 38.4    |
| 25–34    | 78.9    |
| 35–44    | 141.6   |
| 45–54    | 297.3   |
| 55–64    | 669.8   |
| 65–74    | 1402    |
| 75–84    | 3710.9  |
| 85+      | 12666.1 |
