Age,Number,Rate
"15 years and over",461,0.4
"15-24 years",37,0.2
"25-34 years",82,0.4
"35-44 years",103,0.5
"45-54 years",101,0.5
"55-64 years",46,0.4
"65 years and over",92,0.5
Age-ajusted,,0.4
