Age,Mean
"3–5 months",8.1
"6–8 months",7.9
"9–11 months",7.6
"1 year",7.1
"2 years",6.9
"3 years",6.9
"4 years",7.3
"5 years",7.4
"6 years",7.6
"7 years",9.1
"8 years",9
"9 years",11
"10 years",11.5
"11 years",11.9
"12 years",12.6
"13 years",13.9
"14 years",15.3
"15 years",14.9
"16 years",16
"17 years",17.8
"18 years",16.4
"19 years",16.3
"20 years and older",21.3
"20–29 years",18.5
"30–39 years",21.3
"40–49 years",23.1
"50–59 years",24.5
"60–69 years",22.5
"70–79 years",19.8
"80 years and older",16.3
