Age,Mean
"8–11 years",27.8
"12–15 years",28.9
"16–19 years",31.5
"20–39 years",35.5
"40–59 years",39
"60–79 years",41.3
"80 years and older",38.3
"20 years and older (crude)",38.2
"20 years and older (age adjusted)",38
