Age,"Number of visits in thousands","Standard error in thousands"
"All female visits",63170,3426
"Under 15 years",10072,859
"15–24 years",11084,712
"25–44 years",18698,1037
"45–64 years",12776,728
"65–74 years",3723,255
"75 years and over",6816,427
