Age,"Total : Sample size","Total : Mean","Total : Standard error","Total : Median","Poverty income ratio ≤ 1.300 : Sample size","Poverty income ratio ≤ 1.300 : Mean","Poverty income ratio ≤ 1.300 : Standard error","Poverty income ratio ≤ 1.300 : Median","Poverty income ratio > 1.300 : Sample size","Poverty income ratio > 1.300 : Mean","Poverty income ratio > 1.300 : Standard error","Poverty income ratio > 1.300 : Median"
"All ages",15182,9.3,0.1,8,5767,9.1,0.16,7.7,8001,9.4,0.12,8.2
"Under 6 years",3461,7,0.12,6.3,1581,7.4,0.19,6.6,1580,6.8,0.14,6.2
"6–11 years",1553,9.2,0.31,7.9,733,9.3,0.29,8,693,9.1,0.46,7.8
"12–19 years",1659,9.5,0.26,8.4,711,9.7,0.35,8.8,796,9.2,0.28,8.3
"20–59 years",5921,9.8,0.17,8.5,1939,9.5,0.25,8.1,3484,9.9,0.2,8.6
"60 years and over",2588,8.8,0.22,7.6,803,8.5,0.6,6.6,1448,8.9,0.22,7.8
