Age,"Standard deviation"
"7-74 years",21.1
"7-11 years",13.5
"12-17 years",14
"18-24 years",14.3
"25-34 years",14.5
"35-44 years",15.9
"45-54 years",20.7
"55-64 years",24
"65-74 years",22.6

