| Age         | Standard deviation |
| ----------- | ------------------ |
| 7-74 years  | 22                 |
| 7-11 years  | 13.6               |
| 12-17 years | 13.6               |
| 18-24 years | 13.2               |
| 25-34 years | 14                 |
| 35-44 years | 17.6               |
| 45-54 years | 21.6               |
| 55-64 years | 25                 |
| 65-74 years | 22.4               |
