Age,"Standard deviation"
"7-74 years",19.9
"7-11 years",13.3
"12-17 years",14.2
"18-24 years",13.9
"25-34 years",14.1
"35-44 years",13.5
"45-54 years",19.3
"55-64 years",22.7
"65-74 years",22.5
