Age,"Total : Sample size","Total : Mean","Total : Standard error","Total : Median","Poverty income ratio ≤ 1.300 : Sample size","Poverty income ratio ≤ 1.300 : Mean","Poverty income ratio ≤ 1.300 : Standard error","Poverty income ratio ≤ 1.300 : Median","Poverty income ratio > 1.300 : Sample size","Poverty income ratio > 1.300 : Mean","Poverty income ratio > 1.300 : Standard error","Poverty income ratio > 1.300 : Median"
"All ages",15182,46,0.7,36,5767,49,2.1,37,8001,46,0.8,36
"Under 6 years",3461,33,0.6,29,1581,33,1.2,28,1580,33,0.9,30
"6–11 years",1553,49,1.4,41,733,51,2.1,43,693,48,1.7,40
"12–19 years",1659,59,2.4,47,711,59,4.3,48,796,60,3.5,46
"20–59 years",5921,47,0.9,37,1939,53,4.1,38,3484,46,0.9,37
"60 years and over",2588,38,0.8,30,803,36,1.5,28,1448,39,1,31
