| Age   | 5th  | 10th | 25th | 50th | 75th | 90th  | 95th  |
| ----- | ---- | ---- | ---- | ---- | ---- | ----- | ----- |
| 6     | 49.2 | 49.8 | 54.2 | 59.6 | 65.9 | 73.8  | 79.3  |
| 7-11  | 47.6 | 49.8 | 58.1 | 63.4 | 69.7 | 77.5  | 79.7  |
| 7     | 43.6 | 49.2 | 55.6 | 59.7 | 69.2 | 77.6  | 79.6  |
| 8     | 45.8 | 49.4 | 57.6 | 61.7 | 69.4 | 73.4  | 79.2  |
| 9     | 47.2 | 49.8 | 59.1 | 67.2 | 71.2 | 77.9  | 79.6  |
| 10    | 48   | 51.3 | 59.2 | 63.5 | 69.6 | 74.9  | 77.9  |
| 11    | 49.4 | 54.4 | 59.2 | 65.8 | 71.9 | 79.8  | 85.2  |
| 12-17 | 53.2 | 57.4 | 59.9 | 69.3 | 75.3 | 79.8  | 84.6  |
| 12    | 49.7 | 55.5 | 59.4 | 67.7 | 73.2 | 79.5  | 84.4  |
| 13    | 50   | 57.4 | 59.7 | 69   | 74.9 | 79.6  | 84.4  |
| 14    | 53.2 | 57.1 | 61.2 | 69.2 | 74.2 | 79.6  | 80    |
| 15    | 57.1 | 59.2 | 63.3 | 69.3 | 74   | 81.5  | 84.8  |
| 16    | 53.2 | 57.5 | 59.9 | 69.5 | 75.9 | 81.3  | 83.3  |
| 17    | 51.7 | 57.6 | 63.1 | 69.8 | 79   | 83.5  | 89.1  |
| 18-74 | 59.4 | 63.5 | 69.7 | 79.2 | 87.2 | 95.9  | 103   |
| 18-24 | 55.2 | 59.2 | 63.8 | 69.8 | 79.1 | 83.6  | 87.6  |
| 25-34 | 59.2 | 59.9 | 67.8 | 74.1 | 79.8 | 87.6  | 90    |
| 35-44 | 59.6 | 64.3 | 70   | 79.4 | 87.2 | 95.6  | 101.3 |
| 45-54 | 63.8 | 69.1 | 74   | 80   | 89.7 | 99.9  | 107.9 |
| 55-64 | 69.2 | 71.1 | 77.7 | 85   | 93.9 | 101.3 | 108   |
| 65-74 | 67.5 | 69.6 | 77.5 | 83.8 | 93.5 | 100   | 109.2 |
| 40-74 | 65.3 | 69.4 | 75.5 | 83.1 | 91.1 | 99.8  | 107.6 |
