Age,"Total : Sample size","Total : Mean","Total : Standard error","Total : Median","Poverty income ratio ≤ 1.300 : Sample size","Poverty income ratio ≤ 1.300 : Mean","Poverty income ratio ≤ 1.300 : Standard error","Poverty income ratio ≤ 1.300 : Median","Poverty income ratio > 1.300 : Sample size","Poverty income ratio > 1.300 : Mean","Poverty income ratio > 1.300 : Standard error","Poverty income ratio > 1.300 : Median"
"All ages",15181,6282,205.2,1815,5767,6354,387.4,1301,8001,6370,215.6,1893
"Under 6 years",3461,4837,248.7,1121,1581,4970,485.5,1121,1580,4801,216.8,1149
"6–11 years",1553,7246,527.7,2646,733,7652,820.6,2722,693,7212,622,2680
"12–19 years",1658,8068,643.1,2902,711,8066,1246.8,2258,796,8041,550.7,3468
"20–59 years",5921,6401,259.3,1844,1939,6148,491.5,1276,3484,6534,285.2,2006
"60 years and over",2588,5003,333.8,1087,803,5512,771.5,242,1448,5071,421.6,1316
