| Age   | Sample size |
| ----- | ----------- |
| 2     | 508         |
| 3     | 567         |
| 4     | 528         |
| 5     | 555         |
| 6     | 274         |
| 7     | 269         |
| 8     | 245         |
| 9     | 271         |
| 10    | 257         |
| 11    | 270         |
| 12    | 233         |
| 13    | 218         |
| 14    | 217         |
| 15    | 189         |
| 16    | 203         |
| 17    | 197         |
| 18    | 170         |
| 19    | 171         |
| 20+   | 8162        |
| 20–29 | 1619        |
| 30–39 | 1713        |
| 40–49 | 1305        |
| 50–59 | 965         |
| 60–69 | 1091        |
| 70–79 | 873         |
| 80+   | 596         |
