Age,"Standard error"
"8–11 years",16.66
"12–15 years",21.06
"16–19 years",21.24
"20–29 years",23.44
"30–39 years",26.03
"40–49 years",26.25
"50–59 years",26.42
"60–69 years",29.59
"70–79 years",25.77
"80 years and over",24.79
