| Age   | Standard error |
| ----- | -------------- |
| 8–11  | 16.66          |
| 12–15 | 21.06          |
| 16–19 | 21.24          |
| 20–29 | 23.44          |
| 30–39 | 26.03          |
| 40–49 | 26.25          |
| 50–59 | 26.42          |
| 60–69 | 29.59          |
| 70–79 | 25.77          |
| 80+   | 24.79          |
