Age,"Standard deviation"
"7-74 years",15.2
"7-11 years",10.1
"12-17 years",11.1
"18-24 years",10.8
"25-34 years",13.2
"35-44 years",14.1
"45-54 years",15.4
"55-64 years",13.8
"65-74 years",13.7
