| Age         | Standard deviation |
| ----------- | ------------------ |
| 7-74 years  | 15.3               |
| 7-11 years  | 10.1               |
| 12-17 years | 11.2               |
| 18-24 years | 10.6               |
| 25-34 years | 13                 |
| 35-44 years | 14.9               |
| 45-54 years | 15                 |
| 55-64 years | 13.1               |
| 65-74 years | 13.5               |
