| Age         | Standard deviation |
| ----------- | ------------------ |
| 7-74 years  | 15.1               |
| 7-11 years  | 10                 |
| 12-17 years | 10.4               |
| 18-24 years | 10.2               |
| 25-34 years | 13.5               |
| 35-44 years | 12.2               |
| 45-54 years | 14.3               |
| 55-64 years | 15                 |
| 65-74 years | 13.9               |
