Age,"Standard error of the mean"
"7-17 years (education : head of the household)",0.81
"7-11 years (education : head of the household)",1.25
"12-17 years (education : head of the household)",1.03
"18-74 years",0.61
"18-24 years",0.97
"25-34 years",0.97
"35-44 years",1.35
"45-54 years",2.16
"55-64 years",2.1
"65-74 years",1.6
