Age,"Standard error of the mean"
"7-17 years (education : head of the household)",1.08
"7-11 years (education : head of the household)",1.35
"12-17 years (education : head of the household)",1.05
"18-74 years",0.87
"18-24 years",0.89
"25-34 years",0.69
"35-44 years",1.28
"45-54 years",2.73
"55-64 years",4.08
"65-74 years",1.73
