| Age               | Standard error |
| ----------------- | -------------- |
| All ages          | 0.9            |
| 2–11 months       | 0.4            |
| 1–2 years         | 0.8            |
| 3–5 years         | 1.1            |
| 6–11 years        | 1.2            |
| 12–15 years       | 2.3            |
| 16–19 years       | 2.1            |
| 20–29 years       | 1.6            |
| 30–39 years       | 2              |
| 40–49 years       | 2              |
| 50–59 years       | 1.6            |
| 60–69 years       | 1.2            |
| 70–79 years       | 1.2            |
| 80 years and over | 1.2            |
