Age,"Total : Sample size","Total : Mean","Total : Standard error","Total : Median","Poverty income ratio ≤ 1.300 : Sample size","Poverty income ratio ≤ 1.300 : Mean","Poverty income ratio ≤ 1.300 : Standard error","Poverty income ratio ≤ 1.300 : Median","Poverty income ratio > 1.300 : Sample size","Poverty income ratio > 1.300 : Mean","Poverty income ratio > 1.300 : Standard error","Poverty income ratio > 1.300 : Median"
"All ages",15182,25,0.2,22,5767,25,0.4,21,8001,25,0.3,22
"Under 6 years",3461,19,0.4,17,1581,19,0.7,17,1580,18,0.4,17
"6–11 years",1553,26,0.5,23,733,26,1,23,693,25,0.6,23
"12–19 years",1659,28,0.8,25,711,30,1.5,26,796,28,0.7,25
"20–59 years",5921,27,0.3,24,1939,27,0.8,23,3484,27,0.4,24
"60 years and over",2588,20,0.3,18,803,18,0.7,16,1448,21,0.4,19
