Age,"Total : Sample size","Total : Mean","Total : Standard error","Total : Median","Poverty income ratio ≤ 1.300 : Sample size","Poverty income ratio ≤ 1.300 : Mean","Poverty income ratio ≤ 1.300 : Standard error","Poverty income ratio ≤ 1.300 : Median","Poverty income ratio > 1.300 : Sample size","Poverty income ratio > 1.300 : Mean","Poverty income ratio > 1.300 : Standard error","Poverty income ratio > 1.300 : Median"
"All ages",13923,37,0.5,32,4929,34,0.7,30,7770,38,0.6,33
"Under 6 years",3410,20,0.4,18,1564,21,0.5,19,1548,19,0.4,17
"6–11 years",1581,31,0.8,28,713,32,1.1,30,746,31,1,28
"12–19 years",1462,41,0.9,38,634,39,1.2,35,674,42,1.3,38
"20–59 years",5019,41,0.8,38,1390,39,1.3,33,3226,42,0.8,38
"60 years and over",2451,29,0.4,26,628,26,1,23,1576,30,0.5,27
