| Age         | Standard deviation |
| ----------- | ------------------ |
| 7-74 years  | 22.2               |
| 7-11 years  | 12.1               |
| 12-17 years | 14.2               |
| 18-24 years | 14.1               |
| 25-34 years | 13                 |
| 35-44 years | 15                 |
| 45-54 years | 24.9               |
| 55-64 years | 22.8               |
| 65-74 years | 25.7               |
