Age,"Standard deviation"
"7-74 years",19.4
"7-11 years",12
"12-17 years",14.8
"18-24 years",12.9
"25-34 years",11.6
"35-44 years",13.3
"45-54 years",17.6
"55-64 years",21.4
"65-74 years",24
