| Age         | Standard deviation |
| ----------- | ------------------ |
| 7-74 years  | 24.6               |
| 7-11 years  | 12.3               |
| 12-17 years | 13.3               |
| 18-24 years | 13.3               |
| 25-34 years | 13.1               |
| 35-44 years | 16.1               |
| 45-54 years | 30.3               |
| 55-64 years | 24.2               |
| 65-74 years | 26.1               |
