Age,"Standard deviation"
"7-74 years",14.1
"7-11 years",10.4
"12-17 years",10.1
"18-24 years",10.3
"25-34 years",11
"35-44 years",13.1
"45-54 years",14.3
"55-64 years",12
"65-74 years",13.5
