Age,"Standard deviation"
"7-74 years",14
"7-11 years",10.3
"12-17 years",9.7
"18-24 years",10
"25-34 years",11
"35-44 years",13.5
"45-54 years",14.3
"55-64 years",12.4
"65-74 years",13.5
