| Age         | Standard deviation |
| ----------- | ------------------ |
| 7-74 years  | 14.1               |
| 7-11 years  | 10.3               |
| 12-17 years | 10.4               |
| 18-24 years | 10.3               |
| 25-34 years | 10.1               |
| 35-44 years | 12.4               |
| 45-54 years | 13.9               |
| 55-64 years | 11.7               |
| 65-74 years | 13.6               |
