| Age                | Mean   |
| ------------------ | ------ |
| 8–11               | 70.25  |
| 12–15              | 133.09 |
| 16–19              | 197.52 |
| 20–29              | 218.46 |
| 30–39              | 225.43 |
| 40–49              | 231.23 |
| 50–59              | 227.87 |
| 60–69              | 223.73 |
| 70–79              | 213.01 |
| 80+                | 195.28 |
| 20+ (age-adjusted) | 223.17 |
