Age,"Standard error"
"8–11 years",0.087
"12–15 years",0.095
"16–19 years",0.09
"20–29 years",0.087
"30–39 years",0.094
"40–49 years",0.099
"50–59 years",0.105
"60–69 years",0.11
"70–79 years",0.105
"80 years and over",0.107
