| Age   | Standard error |
| ----- | -------------- |
| 8–11  | 18.93          |
| 12–15 | 43.19          |
| 16–19 | 37.94          |
| 20–29 | 38.73          |
| 30–39 | 39.49          |
| 40–49 | 37.53          |
| 50–59 | 37.97          |
| 60–69 | 39.05          |
| 70–79 | 38.81          |
| 80+   | 37.63          |
