Age,"Total : Sample size","Total : Mean","Total : Standard error","Total : Median","Poverty income ratio ≤ 1.300 : Sample size","Poverty income ratio ≤ 1.300 : Mean","Poverty income ratio ≤ 1.300 : Standard error","Poverty income ratio ≤ 1.300 : Median","Poverty income ratio > 1.300 : Sample size","Poverty income ratio > 1.300 : Mean","Poverty income ratio > 1.300 : Standard error","Poverty income ratio > 1.300 : Median"
"All ages2",15182,1.4,0.01,1.3,5767,1.5,0.03,1.3,8001,1.4,0.02,1.3
"Under 6 years2",3461,1.2,0.01,1.1,1581,1.3,0.03,1.2,1580,1.2,0.02,1.1
"6–11 years",1553,1.5,0.02,1.4,733,1.6,0.05,1.5,693,1.4,0.03,1.4
"12–19 years",1659,1.5,0.04,1.3,711,1.6,0.07,1.5,796,1.4,0.04,1.3
"20–59 years",5921,1.4,0.02,1.3,1939,1.4,0.04,1.2,3484,1.4,0.02,1.3
"60 years and over",2588,1.4,0.03,1.2,803,1.4,0.07,1.2,1448,1.4,0.03,1.2
